"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","geoprivacy","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated","date"
"Pedicularis bracteosa latifolia","2013-08-03 00:00:00 -0800","Tall plants with purplish flowers, growing in subalpine meadows.","Naches Loop Trail",46.86223,-121.717,"Pedicularis bracteosa var. latifolia, Bracted Lousewort, Orobanchaceae","Towering Lousewort","http://www.inaturalist.org/observations/1185761","http://static.inaturalist.org/photos/1497824/medium.jpg?1421781105","podiceps",1185761,"Pedicularis bracteosa var. latifolia","Plantae",242013,"false",1,0,"2013-08-03","2013-08-03",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 11:11:24 -0800","2015-01-23 22:32:07 -0800","research","CC-BY-NC",NA,"false",2013-08-03 00:00:00
"Veratrum viride","2013-08-03 00:00:00 -0800","Tall plants with long leaves, and greenish flowers borne in large panicles with drooping lower stems.","Naches Loop Trail",46.69572,-121.4985,"Veratrum viride, Green False Hellebore, Melanthiaceae","green false hellebore","http://www.inaturalist.org/observations/1185743","http://static.inaturalist.org/photos/1497802/medium.jpg?1421780020","podiceps",1185743,"Veratrum viride","Plantae",79484,"false",1,0,"2013-08-03","2013-08-03",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 10:53:35 -0800","2015-01-23 22:32:20 -0800","research","CC-BY-NC",NA,"false",2013-08-03 00:00:00
"Veronica cusickii","2013-07-22 00:00:00 -0800","Low plants with dark purple flowers. Growing in meadow on north side of lake.","Tipsoo Lake",46.8685,-121.5167,"","cusick's speedwell","http://www.inaturalist.org/observations/1185726","http://static.inaturalist.org/photos/1497792/medium.jpg?1421779429","podiceps",1185726,"Veronica cusickii","Plantae",79497,"false",1,0,"2013-07-22","2013-07-22",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 10:43:42 -0800","2015-01-23 22:32:28 -0800","research","CC-BY-NC",NA,"false",2013-07-22 00:00:00
"Artemisia ludoviciana candicans","2014-07-25 00:00:00 -0800","Tall, hairy and leafy stems, with white discoid flowers in a panicle. On rocks alongside road. ","Highway 410 above Cayuse",46.86635,-121.5364,"Artemisia ludoviciana ssp. candicans, Silver Wormwood, Asteraceae","White Sagebrush","http://www.inaturalist.org/observations/1185676","http://static.inaturalist.org/photos/1497730/medium.jpg?1421776843","podiceps",1185676,"Artemisia ludoviciana ssp. candicans","Plantae",79628,"false",1,0,"2014-07-25","2014-07-25",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 10:00:19 -0800","2015-01-23 22:32:36 -0800","research","CC-BY-NC",NA,"false",2014-07-25 00:00:00
"Calamagrostis sesquiflora","2014-07-25 00:00:00 -0800","Tall, open panicle with purplish spikelets. ","Highway 410 above Cayuse",46.86783,-121.534,"Calamagrostis sesquiflora, Poaceae","One-and-a-half-flower Small-reedgrass","http://www.inaturalist.org/observations/1185624","http://static.inaturalist.org/photos/1497669/medium.jpg?1421774723","podiceps",1185624,"Calamagrostis sesquiflora","Plantae",159641,"false",1,0,"2014-07-25","2014-07-25",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 09:25:17 -0800","2015-01-23 22:32:35 -0800","research","CC-BY-NC",NA,"false",2014-07-25 00:00:00
"Barbarea orthoceras","2014-07-25 00:00:00 -0800","Small yellow flowers on a branched inflorescence, and pinnately lobed leaves. ","Highway 410 above Cayuse",46.86795,-121.5333,"Barbarea orthoceras, American Wintercress, Brassicaceae","American yellowrocket","http://www.inaturalist.org/observations/1185616","http://static.inaturalist.org/photos/1497662/medium.jpg?1421774461","podiceps",1185616,"Barbarea orthoceras","Plantae",52976,"false",1,0,"2014-07-25","2014-07-25",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 09:20:40 -0800","2015-01-23 22:32:53 -0800","research","CC-BY-NC",NA,"false",2014-07-25 00:00:00
"Juniperus communis montana","2014-07-25 00:00:00 -0800","Low plants in depression beside road.","Highway 410 above Cayuse",46.86783,-121.534,"Juniperus communis var. montana, Common Juniper, Cupressaceae","Common Juniper","http://www.inaturalist.org/observations/1185470","http://static.inaturalist.org/photos/1497503/medium.jpg?1421769543","podiceps",1185470,"Juniperus communis var. montana","Plantae",241214,"false",1,0,"2014-07-25","2014-07-25",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 07:58:56 -0800","2015-01-23 22:33:00 -0800","research","CC-BY-NC",NA,"false",2014-07-25 00:00:00
"Epilobium glaberrimum fastigiatum","2014-07-22 00:00:00 -0800","Several sizable plants, in flower, tucked in space between concrete walkway and wall.","walkway above Tipsoo Lake",46.86717,-121.5171,"Epilobium glaberrimum ssp. fastigiatum, Glaucous Willow-herb, Onagraceae","Glaucous Willowherb","http://www.inaturalist.org/observations/1185446","http://static.inaturalist.org/photos/1497469/medium.jpg?1421768943","podiceps",1185446,"Epilobium glaberrimum ssp. fastigiatum","Plantae",79827,"false",1,0,"2014-07-22","2014-07-22",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 07:48:55 -0800","2015-01-23 22:33:02 -0800","research","CC-BY-NC",NA,"false",2014-07-22 00:00:00
"Epilobium hallianum","2014-07-22 00:00:00 -0800","Flowering plants tucked in space between concrete walkway and wall.","walkway above Tipsoo Lake",46.86715,-121.5172,"Epilobium halleanum, Hall's Willow-herb, Onagraceae","Hall's willowherb","http://www.inaturalist.org/observations/1185439","http://static.inaturalist.org/photos/1497461/medium.jpg?1421768707","podiceps",1185439,"Epilobium halleanum","Plantae",76831,"false",1,0,"2014-07-22","2014-07-22",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 07:44:58 -0800","2015-01-23 22:33:11 -0800","research","CC-BY-NC",NA,"false",2014-07-22 00:00:00
"Castilleja parviflora oreopola","2014-07-22 00:00:00 -0800","Bright reddish bracts. Growing near road in wet area.","pond at Chinook Pass",46.8595142199,-121.4380936618,"Castilleja parviflora var. oreopola, Magenta Paintbrush, Orobanchaceae","Magenta Paintbrush","http://www.inaturalist.org/observations/1185419","http://static.inaturalist.org/photos/1497442/medium.jpg?1421768364","podiceps",1185419,"Castilleja parviflora var. oreopola","Plantae",143869,"false",1,0,"2014-07-22","2014-07-22",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 07:39:17 -0800","2015-01-23 22:33:27 -0800","research","CC-BY-NC",NA,"false",2014-07-22 00:00:00
"Ranunculus eschscholtzii suksdorfii","2014-07-22 00:00:00 -0800","Low, tufted plant with short flowering stems and bright yellow-orange flowers. In wet meadow.","pond at Chinook Pass",46.86637,-121.5161,"Ranunculus eschscholtzii var. suksdorfii, Subalpine Buttercup, Ranunculaceae","","http://www.inaturalist.org/observations/1185401","http://static.inaturalist.org/photos/1497424/medium.jpg?1421768271","podiceps",1185401,"Ranunculus eschscholtzii var. suksdorfii","Plantae",81328,"false",1,0,"2014-07-22","2014-07-22",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 07:36:27 -0800","2015-01-23 22:33:27 -0800","research","CC-BY-NC",NA,"false",2014-07-22 00:00:00
"Mimulus tilingii caespitosus","2014-07-22 00:00:00 -0800","Small plants in mossy, wet habitat.","pond at Chinook Pass",46.86643,-121.5156,"Mimulus tilingii var. caespitosus, Large Mountain Monkeyflower, Phrymaceae","Subalpine Monkeyflower","http://www.inaturalist.org/observations/1185385","http://static.inaturalist.org/photos/1497405/medium.jpg?1421767846","podiceps",1185385,"Mimulus tilingii var. caespitosus","Plantae",54563,"false",1,0,"2014-07-22","2014-07-22",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 07:30:37 -0800","2015-01-23 22:33:34 -0800","research","CC-BY-NC",NA,"false",2014-07-22 00:00:00
"Micranthes nelsoniana cascadensis","2014-07-22 00:00:00 -0800","Flowers opening on stout stems. Growing in open area on wet ground.","pond at Chinook Pass",46.86642,-121.5156,"Micranthes nelsoniana var. cascadensis, Nelson's Brook Saxifrage, Saxifragaceae","","http://www.inaturalist.org/observations/1185348","http://static.inaturalist.org/photos/1497357/medium.jpg?1421767513","podiceps",1185348,"Micranthes nelsoniana var. cascadensis","Plantae",357961,"false",1,0,"2014-07-22","2014-07-22",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-20 07:25:06 -0800","2015-01-23 22:33:51 -0800","research","CC-BY-NC",NA,"false",2014-07-22 00:00:00
"Carex microptera","2014-06-04 00:00:00 -0800","Flowers in a crowded head. Flat leaves on medium-tall plants.","Stevens Canyon",46.7713,-121.6913,"Carex microptera, Small-wing Sedge, Cyperaceae","small-winged sedge","http://www.inaturalist.org/observations/1184056","http://static.inaturalist.org/photos/1495482/medium.jpg?1421702555","podiceps",1184056,"Carex microptera","Plantae",76079,"false",1,0,"2014-06-04","2014-06-04",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 13:22:15 -0800","2015-01-23 22:33:59 -0800","research","CC-BY-NC",NA,"false",2014-06-04 00:00:00
"Poa secunda secunda","2014-07-12 00:00:00 -0800","Dense panicle and flat leaf blades on this common grass.","Nisqually River bed near Longmire Campground",46.74922,-121.8076,"Poa secunda ssp. secunda, One-sided Bluegrass, Poaceae","one-sided bluegrass","http://www.inaturalist.org/observations/1183810","http://static.inaturalist.org/photos/1495184/medium.jpg?1421693745","podiceps",1183810,"Poa secunda ssp. secunda","Plantae",58383,"false",1,0,"2014-07-12","2014-07-12",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 10:55:40 -0800","2015-01-23 22:34:09 -0800","research","CC-BY-NC",NA,"false",2014-07-12 00:00:00
"Epilobium ciliatum glandulosum","2014-07-12 00:00:00 -0800","Turions at the base of the stems, and pinkish flowers. Growing in river bed.","Nisqually River bed near Longmire Campground",46.74925,-121.8077,"Epilobium ciliatum ssp. glandulosum, Common Willow-herb, Onagraceae","glandular willowherb","http://www.inaturalist.org/observations/1183809","http://static.inaturalist.org/photos/1495179/medium.jpg?1421693501","podiceps",1183809,"Epilobium ciliatum ssp. glandulosum","Plantae",79826,"false",1,0,"2014-07-12","2014-07-12",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 10:51:32 -0800","2015-01-23 22:34:17 -0800","research","CC-BY-NC",NA,"false",2014-07-12 00:00:00
"Mimulus guttatus","2014-07-12 00:00:00 -0800","Tall plants with rounded, toothed leaves. Large yellow flowers with red spots on lower lip.","Nisqually River bed near Longmire Campground",46.74925,-121.8077,"Mimulus guttatus, Yellow Monkeyflower, Phrymaceae","Seep Monkeyflower","http://www.inaturalist.org/observations/1183807","http://static.inaturalist.org/photos/1495176/medium.jpg?1421693273","podiceps",1183807,"Seep Monkeyflower","Plantae",48014,"false",1,0,"2014-07-12","2014-07-12",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 10:47:32 -0800","2015-08-06 22:33:12 -0700","research","CC-BY-NC",NA,"false",2014-07-12 00:00:00
"Mimulus tilingii caespitosus","2014-07-12 00:00:00 -0800","Bright yellow flowers with red spots at the throat of this perennial Monkeyflower. Leaves short.","Nisqually River bed near Longmire Campground",46.74943,-121.8075,"Mimulus tilingii var. caespitosus, Large Mountain Monkeyflower, Phrymaceae","Subalpine Monkeyflower","http://www.inaturalist.org/observations/1183800","http://static.inaturalist.org/photos/1495163/medium.jpg?1421693122","podiceps",1183800,"Mimulus tilingii var. caespitosus","Plantae",54563,"false",1,0,"2014-07-12","2014-07-12",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 10:45:16 -0800","2015-01-23 22:34:35 -0800","research","CC-BY-NC",NA,"false",2014-07-12 00:00:00
"Rubus leucodermis","2014-07-01 00:00:00 -0800","Growing on disturbed sites, with white flowers and glaucous stems.","Longmire Campground",46.74748,-121.8091,"Rubus leucodermis, Blackcap Raspberry, Rosaceae","Blackcap Raspberry","http://www.inaturalist.org/observations/1183713","http://static.inaturalist.org/photos/1495064/medium.jpg?1421690352","podiceps",1183713,"Rubus leucodermis","Plantae",63960,"false",1,0,"2014-07-01","2014-07-01",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 09:59:06 -0800","2015-01-23 22:34:35 -0800","research","CC-BY-NC",NA,"false",2014-07-01 00:00:00
"Anticlea occidentalis","2014-06-30 00:00:00 -0800","Hanging brownish-red bells on tall stems with grasslike leaves at the base.","Longmire Campground",46.74315,-121.8137,"Anticlea occidentalis, Bronze Bells, Melanthiaceae","","http://www.inaturalist.org/observations/1183700","http://static.inaturalist.org/photos/1495041/medium.jpg?1421689932","podiceps",1183700,"Anticlea occidentalis","Plantae",425083,"false",1,0,"2014-06-30","2014-06-30",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 09:50:03 -0800","2015-04-14 11:40:24 -0700","research","CC-BY-NC",NA,"false",2014-06-30 00:00:00
"Monotropa hypopitys","2014-06-30 00:00:00 -0800","Growing in open forest, Pinesap forms clumps with reddish to pale yellow flowers.","Longmire Campground",46.74307,-121.8138,"Hypopitys monotropa, Pinesap, Ericaceae","pinesap","http://www.inaturalist.org/observations/1183688","http://static.inaturalist.org/photos/1495020/medium.jpg?1421689054","podiceps",1183688,"Hypopitys monotropa","Plantae",59986,"false",2,0,"2014-06-30","2014-06-30",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 09:37:15 -0800","2015-04-03 16:30:57 -0700","research","CC-BY-NC",NA,"false",2014-06-30 00:00:00
"Orthilia secunda","2014-08-29 00:00:00 -0800","Whitish-green flowers borne on one side of an arched stem. ","Longmire Campground",46.74248,-121.814,"Orthilia secunda, Sidebells Wintergreen, Ericaceae","one-sided wintergreen","http://www.inaturalist.org/observations/1183674","http://static.inaturalist.org/photos/1494995/medium.jpg?1421687660","podiceps",1183674,"Orthilia secunda","Plantae",78288,"false",1,0,"2014-08-29","2014-08-29",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 09:14:12 -0800","2015-04-03 16:30:56 -0700","research","CC-BY-NC",NA,"false",2014-08-29 00:00:00
"Carex pellita","2014-08-16 00:00:00 -0800","Clumped sedge with a many-flowered spike.","Longmire Campground",46.74338,-121.8132,"Carex pellita, Woolly Sedge, Cyperaceae","woolly sedge","http://www.inaturalist.org/observations/1183595","http://static.inaturalist.org/photos/1494873/medium.jpg?1421680587","podiceps",1183595,"Carex pellita","Plantae",76091,"false",1,0,"2014-08-16","2014-08-16",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 07:16:21 -0800","2015-01-23 22:35:53 -0800","research","CC-BY-NC",NA,"false",2014-08-16 00:00:00
"Luzula parviflora parviflora","2014-08-16 00:00:00 -0800","Broad leaves and a tall flowering stem with an open panicle.","Longmire Campground",46.78323,-121.8134,"Luzula parviflora ssp. parviflora, Small-flowered Wood-Rush, Juncaceae","Small-flower Woodrush","http://www.inaturalist.org/observations/1183586","http://static.inaturalist.org/photos/1494849/medium.jpg?1421680212","podiceps",1183586,"Luzula parviflora ssp. parviflora","Plantae",80007,"false",1,0,"2014-08-16","2014-08-16",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 07:09:52 -0800","2015-01-23 22:35:56 -0800","research","CC-BY-NC",NA,"false",2014-08-16 00:00:00
"Goodyera oblongifolia","2014-08-02 00:00:00 -0800","Tall flowering stalk with greenish-white flowers; basal leaves streaked with white.","Longmire Campground",46.74343,-121.8137,"Goodyera oblongifolia, Rattlesnake-Plantain, Orchidaceae","Western rattlesnake plantain","http://www.inaturalist.org/observations/1183564","http://static.inaturalist.org/photos/1494806/medium.jpg?1421679185","podiceps",1183564,"Goodyera oblongifolia","Plantae",50719,"false",1,0,"2014-08-02","2014-08-02",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 06:52:46 -0800","2015-01-23 22:36:13 -0800","research","CC-BY-NC",NA,"false",2014-08-02 00:00:00
"Rubus leucodermis","2014-08-02 00:00:00 -0800","Sprawling plants with ripening fruit.","Longmire Campground",46.74748,-121.8091,"Rubus leucodermis, Blackcap Raspberry, Rosaceae","Blackcap Raspberry","http://www.inaturalist.org/observations/1183560","http://static.inaturalist.org/photos/1494801/medium.jpg?1421678931","podiceps",1183560,"Rubus leucodermis","Plantae",63960,"false",1,0,"2014-08-02","2014-08-02",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 06:48:43 -0800","2015-01-23 22:36:12 -0800","research","CC-BY-NC",NA,"false",2014-08-02 00:00:00
"Agrostis exarata","2014-07-25 00:00:00 -0800","Growing near river, tufted bentgrass with dense panicles.","Longmire Campground near Nisqually River",46.74743,-121.8091,"Agrostis exarata, Spike Bentgrass, Poaceae","Pacific bentgrass","http://www.inaturalist.org/observations/1183546","http://static.inaturalist.org/photos/1494787/medium.jpg?1421677965","podiceps",1183546,"Agrostis exarata","Plantae",59088,"false",1,0,"2014-07-25","2014-07-25",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-19 06:32:39 -0800","2015-01-23 22:36:28 -0800","research","CC-BY-NC",NA,"false",2014-07-25 00:00:00
"Anemone","2014-08-19 00:00:00 -0800","","Altavista, Paradise, Mt. Rainer",46.788078,-121.737439,"","Windflower","http://www.inaturalist.org/observations/1182615","http://static.inaturalist.org/photos/1493320/medium.jpg?1421622520","mrfish33",1182615,"Windflower","Plantae",51242,"false",1,0,"2014-08-19","2014-08-19",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",35478,"2015-01-18 15:08:30 -0800","2015-08-01 15:27:02 -0700","needs_id","CC-BY-NC",NA,"false",2014-08-19 00:00:00
"Pterospora andromedea","2014-07-21 00:00:00 -0800","Tall, with reddish stems and a raceme with urn-shaped flowers.","Longmire Campground",46.745,-121.8033,"Pterospora andromedea, Pinedrops, Ericaceae","Woodland Pinedrops","http://www.inaturalist.org/observations/1182124","http://static.inaturalist.org/photos/1492690/medium.jpg?1421603858","podiceps",1182124,"Pterospora andromedea","Plantae",52118,"false",2,0,"2014-07-21","2014-07-21",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-18 09:57:30 -0800","2015-04-03 16:30:55 -0700","research","CC-BY-NC",NA,"false",2014-07-21 00:00:00
"Chimaphila umbellata occidentalis","2014-07-21 00:00:00 -0800","Tall flowering stems with pink flowers. Growing in open forest at campground.","Longmire Campground",46.74765,-121.8086,"Chimaphila umbellata ssp. occidentalis, Pipsissewa, Ericaceae","Western Pipsissewa","http://www.inaturalist.org/observations/1182087","http://static.inaturalist.org/photos/1492660/medium.jpg?1421601049","podiceps",1182087,"Chimaphila umbellata ssp. occidentalis","Plantae",84721,"false",1,0,"2014-07-21","2014-07-21",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-18 09:10:43 -0800","2015-04-03 16:18:21 -0700","research","CC-BY-NC",NA,"false",2014-07-21 00:00:00
"Osmorhiza berteroi","2014-07-21 00:00:00 -0800","Developing two-part carpels. Plants in open forest at the campground.","Longmire Campground",46.74728,-121.8097,"Osmorhiza berteroi, Common Sweet-Cicely, Apiaceae","mountain sweet cicely","http://www.inaturalist.org/observations/1182080","http://static.inaturalist.org/photos/1492651/medium.jpg?1421600687","podiceps",1182080,"Osmorhiza berteroi","Plantae",53166,"false",1,0,"2014-07-21","2014-07-21",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-18 09:04:39 -0800","2015-01-23 22:37:19 -0800","research","CC-BY-NC",NA,"false",2014-07-21 00:00:00
"Neottia cordata","2014-07-10 00:00:00 -0800","Greenish flowers and heart-shaped leaves on a common understory plant.","Longmire Campground",46.74205,-121.8133,"Neottia cordata, Heart-leaf Twayblade, Orchidaceae","heartleaf twayblade","http://www.inaturalist.org/observations/1182026","http://static.inaturalist.org/photos/1492574/medium.jpg?1421595995","podiceps",1182026,"Neottia cordata","Plantae",204364,"false",1,0,"2014-07-10","2014-07-10",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-18 07:46:25 -0800","2015-01-23 22:37:29 -0800","research","CC-BY-NC",NA,"false",2014-07-10 00:00:00
"Linnaea borealis longiflora","2014-07-10 00:00:00 -0800","Small bell-like flowers hanging down on slender stalks on this common species.","Longmire Campground",46.74205,-121.8133,"Linnaea borealis var. longiflora, Twinflower, Lineaceae","Long-tube Twinflower","http://www.inaturalist.org/observations/1182022","http://static.inaturalist.org/photos/1492564/medium.jpg?1421595519","podiceps",1182022,"Linnaea borealis var. longiflora","Plantae",81026,"false",1,0,"2014-07-10","2014-07-10",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-18 07:38:21 -0800","2015-01-23 22:37:30 -0800","research","CC-BY-NC",NA,"false",2014-07-10 00:00:00
"Chimaphila menziesii","2014-07-10 00:00:00 -0800","Small white flowers with curved petals. Growing in open spaces beneath forest canopy.","Longmire Campground",46.74205,-121.8133,"Chimaphila menziesii, Little Pipsissewa, Ericaceae","Little Prince's Pine","http://www.inaturalist.org/observations/1182021","http://static.inaturalist.org/photos/1492561/medium.jpg?1421595315","podiceps",1182021,"Chimaphila menziesii","Plantae",62238,"false",1,0,"2014-07-10","2014-07-10",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-18 07:34:54 -0800","2015-04-03 16:18:20 -0700","research","CC-BY-NC",NA,"false",2014-07-10 00:00:00
"Nothochelone nemorosa","2014-07-11 00:00:00 -0800","A few plants growing on rocks near bridge to campground.","Longmire Campground",46.74968,-121.8083,"Nothochelone nemorosa, Woodland-penstemon, Plantaginaceae","Woodland Beardtongue","http://www.inaturalist.org/observations/1180686","http://static.inaturalist.org/photos/1490711/medium.jpg?1421527371","podiceps",1180686,"Nothochelone nemorosa","Plantae",78231,"false",1,0,"2014-07-11","2014-07-11",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 12:42:32 -0800","2015-01-23 22:37:56 -0800","research","CC-BY-NC",NA,"false",2014-07-11 00:00:00
"Neottia convallarioides","2014-07-01 00:00:00 -0800","A few plants in flower in dense forest.","Longmire Campground",46.74313,-121.8142,"Neottia convallarioides, Broad-lipped Twayblade, Orchidaceae","broadlipped twayblade","http://www.inaturalist.org/observations/1180611","http://static.inaturalist.org/photos/1490634/medium.jpg?1421523697","podiceps",1180611,"Neottia convallarioides","Plantae",131229,"false",1,0,"2014-07-01","2014-07-01",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 11:41:28 -0800","2015-01-23 22:38:07 -0800","research","CC-BY-NC",NA,"false",2014-07-01 00:00:00
"Dodecatheon jeffreyi","2014-07-11 00:00:00 -0800","Bright pink ""shooting star"" flowers on stout plants, growing in wet habitat.","Comet Falls Trail",46.79397,-121.7793,"Primula jeffreyi, Jeffrey's Shooting Star, Primulaceae","Sierra shooting star","http://www.inaturalist.org/observations/1180380","http://static.inaturalist.org/photos/1490315/medium.jpg?1421507575","podiceps",1180380,"Sierra shooting star","Plantae",60528,"false",2,0,"2014-07-11","2014-07-11",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 07:12:51 -0800","2015-02-19 06:49:02 -0800","research","CC-BY-NC",NA,"false",2014-07-11 00:00:00
"Streptopus amplexifolius","2014-07-11 00:00:00 -0800","Hanging white flowers with curved petals. Leaf bases clasp the stem.","Comet Falls Trail",46.79092,-121.7843,"Streptopus amplexifolius, Clasping-leaved Twisted Stalk","white twisted-stalk","http://www.inaturalist.org/observations/1180376","http://static.inaturalist.org/photos/1490307/medium.jpg?1421507465","podiceps",1180376,"Streptopus amplexifolius","Plantae",79273,"false",1,0,"2014-07-11","2014-07-11",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 07:10:59 -0800","2015-01-18 17:20:58 -0800","research","CC-BY-NC",NA,"false",2014-07-11 00:00:00
"Luzula hitchcockii","2014-07-11 00:00:00 -0800","Tall, tufted plants with broad leaves.","Comet Falls Trail",46.79097,-121.7829,"Luzula hitchcockii, Hitchcock's Wood-rush, Juncaceae","","http://www.inaturalist.org/observations/1180359","http://static.inaturalist.org/photos/1490285/medium.jpg?1421506585","podiceps",1180359,"Luzula hitchcockii","Plantae",143686,"false",1,0,"2014-07-11","2014-07-11",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 06:56:05 -0800","2015-01-23 22:38:38 -0800","research","CC-BY-NC",NA,"false",2014-07-11 00:00:00
"Streptopus lanceolatus curvipes","2014-07-11 00:00:00 -0800","Dark pink, bell-like flowers on tall plants with long leaves.","Comet Falls Trail",46.7905,-121.7834,"Streptopus lanceolatus var. Curvipes, Rosy Twisted Stalk, Liliaceae","Rosy Twisted-stalk","http://www.inaturalist.org/observations/1180356","http://static.inaturalist.org/photos/1490280/medium.jpg?1421506369","podiceps",1180356,"Streptopus lanceolatus var. curvipes","Plantae",243120,"false",1,0,"2014-07-11","2014-07-11",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 06:52:44 -0800","2015-01-23 22:38:46 -0800","research","CC-BY-NC",NA,"false",2014-07-11 00:00:00
"Cupressus nootkatensis","2014-07-11 00:00:00 -0800","Tall trees growing near river in rocky, wet ground.","Comet Falls Trail",46.78905,-121.7833,"Callitropsis nootkatensis, Alaska Cedar, Cupressaceae","Nootka cypress","http://www.inaturalist.org/observations/1180354","http://static.inaturalist.org/photos/1490278/medium.jpg?1421506091","podiceps",1180354,"Callitropsis nootkatensis","Plantae",126792,"false",1,0,"2014-07-11","2014-07-11",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 06:48:05 -0800","2015-01-23 22:38:54 -0800","research","CC-BY-NC",NA,"false",2014-07-11 00:00:00
"Hydrophyllum fendleri albifrons","2014-07-11 00:00:00 -0800","Pinnately-divided leaves, and nodding white flowers on this sizable plant.","Comet Falls Trail",46.78862,-121.7833,"Hydrophyllum fendleri var. albifrons, Fendler's Waterleaf, Boraginaceae","Fendler's Waterleaf","http://www.inaturalist.org/observations/1180352","http://static.inaturalist.org/photos/1490275/medium.jpg?1421505978","podiceps",1180352,"Hydrophyllum fendleri var. albifrons","Plantae",80967,"false",1,0,"2014-07-11","2014-07-11",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 06:46:10 -0800","2015-01-23 22:39:03 -0800","research","CC-BY-NC",NA,"false",2014-07-11 00:00:00
"Carex leporinella","2014-07-11 00:00:00 -0800","Small, tufted plant.","Comet Falls Trail",46.78862,-121.7833,"Care leporinella, Little Hare Sedge, Cyperaceae","bog hare sedge","http://www.inaturalist.org/observations/1180350","http://static.inaturalist.org/photos/1490271/medium.jpg?1421505789","podiceps",1180350,"Carex leporinella","Plantae",76068,"false",1,0,"2014-07-11","2014-07-11",NA,"Pacific Time (US & Canada)",NA,NA,NA,NA,"",20035,"2015-01-17 06:43:03 -0800","2015-01-23 22:39:03 -0800","research","CC-BY-NC",NA,"false",2014-07-11 00:00:00
